,Actual,Prediction,TP,TN,FP,FN
271,Sincere,Sincere,1,0,0,0
272,Sincere,Sincere,1,0,0,0
273,Insincere,Insincere,0,1,0,0
274,Sincere,Sincere,1,0,0,0
275,Sincere,Sincere,1,0,0,0
276,Insincere,Insincere,0,1,0,0
277,Sincere,Sincere,1,0,0,0
278,Insincere,Insincere,0,1,0,0
279,Sincere,Sincere,1,0,0,0
280,Insincere,Insincere,0,1,0,0
281,Sincere,Sincere,1,0,0,0
282,Insincere,Insincere,0,1,0,0
283,Insincere,Insincere,0,1,0,0
284,Sincere,Sincere,1,0,0,0
285,Insincere,Insincere,0,1,0,0
286,Insincere,Insincere,0,1,0,0
287,Insincere,Insincere,0,1,0,0
288,Insincere,Insincere,0,1,0,0
289,Insincere,Insincere,0,1,0,0
290,Insincere,Insincere,0,1,0,0
291,Sincere,Insincere,0,0,0,1
292,Insincere,Insincere,0,1,0,0
293,Insincere,Insincere,0,1,0,0
294,Sincere,Insincere,0,0,0,1
295,Sincere,Sincere,1,0,0,0
296,Sincere,Sincere,1,0,0,0
297,Insincere,Insincere,0,1,0,0
298,Sincere,Sincere,1,0,0,0
299,Sincere,Sincere,1,0,0,0
300,Insincere,Insincere,0,1,0,0
301,Sincere,Sincere,1,0,0,0
302,Insincere,Insincere,0,1,0,0
303,Sincere,Sincere,1,0,0,0
304,Insincere,Insincere,0,1,0,0
305,Insincere,Insincere,0,1,0,0
306,Sincere,Sincere,1,0,0,0
307,Sincere,Sincere,1,0,0,0
308,Sincere,Sincere,1,0,0,0
309,Sincere,Sincere,1,0,0,0
310,Sincere,Insincere,0,0,0,1
311,Sincere,Sincere,1,0,0,0
312,Sincere,Sincere,1,0,0,0
313,Sincere,Sincere,1,0,0,0
314,Insincere,Insincere,0,1,0,0
315,Insincere,Insincere,0,1,0,0
316,Sincere,Sincere,1,0,0,0
317,Insincere,Insincere,0,1,0,0
318,Sincere,Sincere,1,0,0,0
319,Sincere,Sincere,1,0,0,0
320,Insincere,Insincere,0,1,0,0
321,Sincere,Sincere,1,0,0,0
322,Insincere,Insincere,0,1,0,0
323,Sincere,Insincere,0,0,0,1
324,Sincere,Sincere,1,0,0,0
325,Sincere,Insincere,0,0,0,1
326,Insincere,Sincere,0,0,1,0
327,Sincere,Sincere,1,0,0,0
328,Insincere,Sincere,0,0,1,0
329,Sincere,Sincere,1,0,0,0
330,Sincere,Sincere,1,0,0,0
331,Insincere,Insincere,0,1,0,0
332,Insincere,Insincere,0,1,0,0
333,Sincere,Sincere,1,0,0,0
334,Insincere,Insincere,0,1,0,0
335,Insincere,Insincere,0,1,0,0
336,Sincere,Sincere,1,0,0,0
337,Insincere,Insincere,0,1,0,0
338,Sincere,Sincere,1,0,0,0
339,Insincere,Insincere,0,1,0,0
340,Sincere,Insincere,0,0,0,1
341,Insincere,Insincere,0,1,0,0
342,Insincere,Sincere,0,0,1,0
343,Sincere,Insincere,0,0,0,1
344,Insincere,Insincere,0,1,0,0
345,Sincere,Insincere,0,0,0,1
346,Insincere,Insincere,0,1,0,0
347,Sincere,Sincere,1,0,0,0
348,Insincere,Insincere,0,1,0,0
349,Sincere,Sincere,1,0,0,0
350,Sincere,Insincere,0,0,0,1
351,Insincere,Insincere,0,1,0,0
352,Sincere,Insincere,0,0,0,1
353,Sincere,Insincere,0,0,0,1
354,Insincere,Insincere,0,1,0,0
355,Insincere,Insincere,0,1,0,0
356,Sincere,Sincere,1,0,0,0
357,Insincere,Insincere,0,1,0,0
358,Insincere,Insincere,0,1,0,0
359,Insincere,Insincere,0,1,0,0
360,Insincere,Insincere,0,1,0,0
361,Sincere,Insincere,0,0,0,1
362,Sincere,Sincere,1,0,0,0
363,Sincere,Sincere,1,0,0,0
364,Insincere,Insincere,0,1,0,0
365,Insincere,Insincere,0,1,0,0
366,Sincere,Sincere,1,0,0,0
367,Sincere,Sincere,1,0,0,0
368,Insincere,Insincere,0,1,0,0
369,Sincere,Sincere,1,0,0,0
370,Insincere,Insincere,0,1,0,0
371,Insincere,Insincere,0,1,0,0
372,Insincere,Insincere,0,1,0,0
373,Sincere,Sincere,1,0,0,0
374,Sincere,Sincere,1,0,0,0
375,Sincere,Insincere,0,0,0,1
376,Sincere,Sincere,1,0,0,0
377,Sincere,Sincere,1,0,0,0
378,Insincere,Sincere,0,0,1,0
379,Insincere,Sincere,0,0,1,0
380,Sincere,Sincere,1,0,0,0
381,Sincere,Sincere,1,0,0,0
382,Sincere,Sincere,1,0,0,0
383,Insincere,Insincere,0,1,0,0
384,Sincere,Sincere,1,0,0,0
385,Sincere,Insincere,0,0,0,1
386,Sincere,Sincere,1,0,0,0
387,Sincere,Insincere,0,0,0,1
388,Sincere,Sincere,1,0,0,0
389,Sincere,Sincere,1,0,0,0
390,Sincere,Sincere,1,0,0,0
391,Sincere,Sincere,1,0,0,0
392,Insincere,Insincere,0,1,0,0
393,Insincere,Insincere,0,1,0,0
394,Sincere,Sincere,1,0,0,0
395,Insincere,Sincere,0,0,1,0
396,Sincere,Sincere,1,0,0,0
397,Insincere,Insincere,0,1,0,0
398,Sincere,Sincere,1,0,0,0
399,Sincere,Sincere,1,0,0,0
400,Insincere,Insincere,0,1,0,0
401,Insincere,Insincere,0,1,0,0
402,Sincere,Sincere,1,0,0,0
403,Sincere,Sincere,1,0,0,0
404,Sincere,Insincere,0,0,0,1
405,Insincere,Insincere,0,1,0,0
406,Insincere,Insincere,0,1,0,0
407,Insincere,Insincere,0,1,0,0
408,Sincere,Insincere,0,0,0,1
409,Sincere,Insincere,0,0,0,1
410,Sincere,Insincere,0,0,0,1
411,Insincere,Insincere,0,1,0,0
412,Sincere,Sincere,1,0,0,0
413,Sincere,Sincere,1,0,0,0
414,Sincere,Insincere,0,0,0,1
415,Insincere,Insincere,0,1,0,0
416,Sincere,Sincere,1,0,0,0
417,Insincere,Insincere,0,1,0,0
418,Insincere,Insincere,0,1,0,0
419,Insincere,Insincere,0,1,0,0
420,Sincere,Insincere,0,0,0,1
421,Insincere,Insincere,0,1,0,0
422,Insincere,Insincere,0,1,0,0
423,Sincere,Sincere,1,0,0,0
424,Insincere,Insincere,0,1,0,0
425,Insincere,Insincere,0,1,0,0
426,Sincere,Insincere,0,0,0,1
427,Sincere,Sincere,1,0,0,0
428,Insincere,Sincere,0,0,1,0
429,Sincere,Sincere,1,0,0,0
430,Sincere,Sincere,1,0,0,0
431,Insincere,Insincere,0,1,0,0
432,Sincere,Insincere,0,0,0,1
433,Sincere,Sincere,1,0,0,0
434,Insincere,Insincere,0,1,0,0
435,Insincere,Insincere,0,1,0,0
436,Sincere,Sincere,1,0,0,0
437,Insincere,Sincere,0,0,1,0
438,Sincere,Sincere,1,0,0,0
439,Sincere,Sincere,1,0,0,0
440,Insincere,Insincere,0,1,0,0
441,Sincere,Sincere,1,0,0,0
442,Insincere,Insincere,0,1,0,0
443,Insincere,Insincere,0,1,0,0
444,Sincere,Sincere,1,0,0,0
445,Sincere,Sincere,1,0,0,0
446,Sincere,Sincere,1,0,0,0
447,Sincere,Sincere,1,0,0,0
448,Sincere,Sincere,1,0,0,0
449,Sincere,Sincere,1,0,0,0
450,Sincere,Sincere,1,0,0,0
451,Insincere,Insincere,0,1,0,0
452,Sincere,Sincere,1,0,0,0
453,Sincere,Sincere,1,0,0,0
454,Insincere,Insincere,0,1,0,0
455,Insincere,Insincere,0,1,0,0
456,Insincere,Insincere,0,1,0,0
457,Insincere,Insincere,0,1,0,0
458,Sincere,Sincere,1,0,0,0
459,Insincere,Insincere,0,1,0,0
460,Sincere,Insincere,0,0,0,1
461,Insincere,Insincere,0,1,0,0
462,Insincere,Insincere,0,1,0,0
463,Insincere,Sincere,0,0,1,0
464,Insincere,Insincere,0,1,0,0
465,Insincere,Insincere,0,1,0,0
466,Sincere,Sincere,1,0,0,0
467,Sincere,Sincere,1,0,0,0
468,Sincere,Sincere,1,0,0,0
469,Insincere,Insincere,0,1,0,0
470,Insincere,Sincere,0,0,1,0
471,Sincere,Sincere,1,0,0,0
472,Sincere,Sincere,1,0,0,0
473,Sincere,Insincere,0,0,0,1
474,Insincere,Insincere,0,1,0,0
475,Insincere,Insincere,0,1,0,0
476,Sincere,Insincere,0,0,0,1
477,Insincere,Insincere,0,1,0,0
478,Sincere,Sincere,1,0,0,0
479,Insincere,Insincere,0,1,0,0
480,Insincere,Insincere,0,1,0,0
481,Insincere,Insincere,0,1,0,0
482,Insincere,Insincere,0,1,0,0
483,Insincere,Insincere,0,1,0,0
484,Sincere,Insincere,0,0,0,1
485,Sincere,Sincere,1,0,0,0
486,Sincere,Sincere,1,0,0,0
487,Insincere,Insincere,0,1,0,0
488,Insincere,Insincere,0,1,0,0
489,Insincere,Insincere,0,1,0,0
490,Insincere,Insincere,0,1,0,0
491,Sincere,Insincere,0,0,0,1
492,Insincere,Sincere,0,0,1,0
493,Insincere,Insincere,0,1,0,0
494,Sincere,Sincere,1,0,0,0
495,Insincere,Insincere,0,1,0,0
496,Sincere,Sincere,1,0,0,0
497,Insincere,Insincere,0,1,0,0
498,Insincere,Insincere,0,1,0,0
499,Sincere,Sincere,1,0,0,0
500,Insincere,Insincere,0,1,0,0
501,Insincere,Insincere,0,1,0,0
502,Insincere,Insincere,0,1,0,0
503,Insincere,Insincere,0,1,0,0
504,Insincere,Insincere,0,1,0,0
505,Insincere,Insincere,0,1,0,0
506,Sincere,Sincere,1,0,0,0
507,Sincere,Sincere,1,0,0,0
508,Insincere,Insincere,0,1,0,0
509,Sincere,Sincere,1,0,0,0
510,Sincere,Insincere,0,0,0,1
511,Insincere,Insincere,0,1,0,0
512,Sincere,Sincere,1,0,0,0
513,Insincere,Insincere,0,1,0,0
514,Insincere,Insincere,0,1,0,0
515,Insincere,Insincere,0,1,0,0
516,Insincere,Insincere,0,1,0,0
517,Insincere,Insincere,0,1,0,0
518,Sincere,Insincere,0,0,0,1
519,Insincere,Insincere,0,1,0,0
520,Insincere,Insincere,0,1,0,0
521,Insincere,Insincere,0,1,0,0
522,Sincere,Sincere,1,0,0,0
523,Sincere,Sincere,1,0,0,0
524,Insincere,Insincere,0,1,0,0
525,Insincere,Insincere,0,1,0,0
526,Sincere,Sincere,1,0,0,0
527,Insincere,Insincere,0,1,0,0
528,Insincere,Insincere,0,1,0,0
529,Insincere,Insincere,0,1,0,0
530,Sincere,Sincere,1,0,0,0
531,Sincere,Sincere,1,0,0,0
532,Sincere,Insincere,0,0,0,1
533,Insincere,Insincere,0,1,0,0
534,Insincere,Insincere,0,1,0,0
535,Sincere,Sincere,1,0,0,0
536,Sincere,Insincere,0,0,0,1
537,Sincere,Sincere,1,0,0,0
538,Sincere,Insincere,0,0,0,1
539,Sincere,Sincere,1,0,0,0
540,Insincere,Insincere,0,1,0,0
541,Insincere,Insincere,0,1,0,0
542,Insincere,Insincere,0,1,0,0
543,Sincere,Sincere,1,0,0,0
544,Insincere,Insincere,0,1,0,0
545,Insincere,Insincere,0,1,0,0
546,Insincere,Insincere,0,1,0,0
547,Sincere,Sincere,1,0,0,0
548,Insincere,Insincere,0,1,0,0
549,Sincere,Sincere,1,0,0,0
550,Insincere,Insincere,0,1,0,0
551,Insincere,Insincere,0,1,0,0
552,Sincere,Sincere,1,0,0,0
553,Sincere,Sincere,1,0,0,0
554,Insincere,Insincere,0,1,0,0
555,Insincere,Insincere,0,1,0,0
556,Sincere,Sincere,1,0,0,0
557,Sincere,Insincere,0,0,0,1
558,Sincere,Sincere,1,0,0,0
559,Insincere,Insincere,0,1,0,0
560,Sincere,Insincere,0,0,0,1
561,Sincere,Sincere,1,0,0,0
562,Sincere,Sincere,1,0,0,0
563,Insincere,Insincere,0,1,0,0
564,Sincere,Sincere,1,0,0,0
565,Sincere,Sincere,1,0,0,0
566,Insincere,Insincere,0,1,0,0
567,Sincere,Sincere,1,0,0,0
568,Insincere,Insincere,0,1,0,0
569,Insincere,Insincere,0,1,0,0
570,Sincere,Insincere,0,0,0,1
571,Insincere,Insincere,0,1,0,0
572,Insincere,Insincere,0,1,0,0
573,Insincere,Insincere,0,1,0,0
574,Sincere,Sincere,1,0,0,0
575,Sincere,Insincere,0,0,0,1
576,Insincere,Insincere,0,1,0,0
577,Insincere,Insincere,0,1,0,0
578,Insincere,Insincere,0,1,0,0
579,Insincere,Insincere,0,1,0,0
580,Insincere,Insincere,0,1,0,0
581,Insincere,Insincere,0,1,0,0
582,Insincere,Insincere,0,1,0,0
583,Insincere,Insincere,0,1,0,0
584,Insincere,Insincere,0,1,0,0
585,Sincere,Sincere,1,0,0,0
586,Sincere,Insincere,0,0,0,1
587,Insincere,Insincere,0,1,0,0
588,Sincere,Sincere,1,0,0,0
589,Insincere,Insincere,0,1,0,0
590,Insincere,Insincere,0,1,0,0
591,Insincere,Insincere,0,1,0,0
592,Insincere,Insincere,0,1,0,0
593,Insincere,Insincere,0,1,0,0
594,Insincere,Insincere,0,1,0,0
595,Insincere,Sincere,0,0,1,0
596,Insincere,Insincere,0,1,0,0
597,Sincere,Insincere,0,0,0,1
598,Insincere,Insincere,0,1,0,0
599,Sincere,Insincere,0,0,0,1
600,Sincere,Insincere,0,0,0,1
601,Insincere,Sincere,0,0,1,0
602,Insincere,Sincere,0,0,1,0
603,Sincere,Sincere,1,0,0,0
604,Insincere,Insincere,0,1,0,0
605,Insincere,Insincere,0,1,0,0
606,Sincere,Insincere,0,0,0,1
607,Insincere,Insincere,0,1,0,0
608,Sincere,Sincere,1,0,0,0
609,Sincere,Insincere,0,0,0,1
610,Sincere,Sincere,1,0,0,0
611,Sincere,Insincere,0,0,0,1
612,Sincere,Insincere,0,0,0,1
613,Insincere,Insincere,0,1,0,0
614,Sincere,Sincere,1,0,0,0
615,Sincere,Sincere,1,0,0,0
616,Insincere,Insincere,0,1,0,0
617,Insincere,Insincere,0,1,0,0
618,Insincere,Insincere,0,1,0,0
619,Insincere,Insincere,0,1,0,0
620,Sincere,Insincere,0,0,0,1
621,Sincere,Sincere,1,0,0,0
622,Insincere,Insincere,0,1,0,0
623,Insincere,Insincere,0,1,0,0
624,Insincere,Insincere,0,1,0,0
625,Insincere,Insincere,0,1,0,0
626,Insincere,Insincere,0,1,0,0
627,Insincere,Insincere,0,1,0,0
628,Sincere,Sincere,1,0,0,0
629,Sincere,Insincere,0,0,0,1
630,Sincere,Insincere,0,0,0,1
631,Insincere,Insincere,0,1,0,0
632,Insincere,Insincere,0,1,0,0
633,Insincere,Insincere,0,1,0,0
634,Insincere,Insincere,0,1,0,0
635,Sincere,Sincere,1,0,0,0
636,Sincere,Insincere,0,0,0,1
637,Sincere,Sincere,1,0,0,0
638,Insincere,Insincere,0,1,0,0
639,Insincere,Insincere,0,1,0,0
640,Sincere,Sincere,1,0,0,0
641,Sincere,Insincere,0,0,0,1
642,Sincere,Sincere,1,0,0,0
643,Insincere,Insincere,0,1,0,0
644,Insincere,Insincere,0,1,0,0
645,Sincere,Sincere,1,0,0,0
646,Insincere,Insincere,0,1,0,0
647,Insincere,Sincere,0,0,1,0
648,Insincere,Insincere,0,1,0,0
649,Sincere,Sincere,1,0,0,0
650,Sincere,Sincere,1,0,0,0
651,Sincere,Sincere,1,0,0,0
652,Insincere,Insincere,0,1,0,0
653,Sincere,Sincere,1,0,0,0
654,Insincere,Insincere,0,1,0,0
655,Insincere,Insincere,0,1,0,0
656,Insincere,Insincere,0,1,0,0
657,Sincere,Insincere,0,0,0,1
658,Sincere,Sincere,1,0,0,0
659,Insincere,Sincere,0,0,1,0
660,Sincere,Sincere,1,0,0,0
661,Sincere,Insincere,0,0,0,1
662,Sincere,Sincere,1,0,0,0
663,Sincere,Sincere,1,0,0,0
664,Insincere,Sincere,0,0,1,0
665,Insincere,Insincere,0,1,0,0
666,Insincere,Insincere,0,1,0,0
667,Insincere,Insincere,0,1,0,0
668,Insincere,Insincere,0,1,0,0
669,Insincere,Insincere,0,1,0,0
670,Insincere,Insincere,0,1,0,0
671,Sincere,Sincere,1,0,0,0
672,Sincere,Insincere,0,0,0,1
673,Insincere,Insincere,0,1,0,0
674,Sincere,Insincere,0,0,0,1
675,Insincere,Insincere,0,1,0,0
676,Insincere,Insincere,0,1,0,0
677,Insincere,Insincere,0,1,0,0
678,Insincere,Insincere,0,1,0,0
679,Insincere,Insincere,0,1,0,0
680,Sincere,Insincere,0,0,0,1
681,Sincere,Insincere,0,0,0,1
682,Insincere,Insincere,0,1,0,0
683,Insincere,Insincere,0,1,0,0
684,Insincere,Insincere,0,1,0,0
685,Insincere,Insincere,0,1,0,0
686,Insincere,Sincere,0,0,1,0
687,Sincere,Sincere,1,0,0,0
688,Insincere,Sincere,0,0,1,0
689,Sincere,Sincere,1,0,0,0
690,Insincere,Insincere,0,1,0,0
691,Sincere,Insincere,0,0,0,1
692,Sincere,Sincere,1,0,0,0
693,Sincere,Insincere,0,0,0,1
694,Sincere,Sincere,1,0,0,0
695,Sincere,Insincere,0,0,0,1
696,Sincere,Sincere,1,0,0,0
